season,cap_dollars,cba
1994,34608000,pre2011
1995,37100000,pre2011
1996,40753000,pre2011
1997,41454000,pre2011
1998,52388000,pre2011
1999,57288000,pre2011
2000,62172000,pre2011
2001,67405000,pre2011
2002,71101000,pre2011
2003,75007000,pre2011
2004,80582000,pre2011
2005,85500000,pre2011
2006,102000000,pre2011
2007,109000000,pre2011
2008,116000000,pre2011
2009,123000000,pre2011
2011,120375000,cba2011
2012,120600000,cba2011
2013,123000000,cba2011
2014,133000000,cba2011
2015,143280000,cba2011
2016,155270000,cba2011
2017,167000000,cba2011
2018,177200000,cba2011
2019,188200000,cba2011
2020,198200000,cba2020
2021,182500000,cba2020
2022,208200000,cba2020
2023,224800000,cba2020
2024,255400000,cba2020
2025,279200000,cba2020
2026,301200000,cba2020
